report_date,week_start,week_end,crop,crop_season,activity,state,state_code,is_total,progress_pct,prev_week_pct,prev_year_pct,five_year_avg_pct,source_file
2022-04-23,2022-04-17,2022-04-23,corn_2,2021/22,planting,Minas Gerais,MG,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,corn_2,2021/22,planting,Paraná,PR,False,0.01,0.009899999999999999,0.009899999999999999,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,corn_2,2021/22,planting,Piauí,PI,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,corn_2,2021/22,planting,Piauí,PI,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,corn_2,2021/22,planting,São Paulo,SP,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,corn_2,2021/22,planting,Tocantins,TO,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,corn_2,2021/22,planting,Total,,True,0.01,0.00998,0.00998,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,corn_2,2021/22,planting,Total,,True,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,rice,2021/22,harvest,Goiás,GO,False,0.009899999999999999,0.009899999999999999,0.00962,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,rice,2021/22,harvest,Maranhão,MA,False,0.0007000000000000001,0.0005,0.001,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,rice,2021/22,harvest,Mato Grosso,MT,False,0.009245,0.007006,0.005679999999999999,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,rice,2021/22,harvest,Rio Grande do Sul,RS,False,0.0084,0.0072,0.0089,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,rice,2021/22,harvest,Santa Catarina,SC,False,0.009899999999999999,0.0098,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,rice,2021/22,harvest,Tocantins,TO,False,0.0077,0.006999999999999999,0.0087,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,rice,2021/22,harvest,Total,,True,0.00805,0.007019999999999999,0.008369999999999999,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,rice,2021/22,planting,Goiás,GO,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,rice,2021/22,planting,Maranhão,MA,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,rice,2021/22,planting,Mato Grosso,MT,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,rice,2021/22,planting,Rio Grande do Sul,RS,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,rice,2021/22,planting,Santa Catarina,SC,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,rice,2021/22,planting,Tocantins,TO,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,rice,2021/22,planting,Total,,True,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,soybeans,2021/22,harvest,Bahia,BA,False,0.0095,0.0085,0.009000000000000001,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,soybeans,2021/22,harvest,Goiás,GO,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,soybeans,2021/22,harvest,Maranhão,MA,False,0.0068000000000000005,0.0066,0.006999999999999999,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,soybeans,2021/22,harvest,Mato Grosso,MT,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,soybeans,2021/22,harvest,Mato Grosso do Sul,MS,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,soybeans,2021/22,harvest,Minas Gerais,MG,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,soybeans,2021/22,harvest,Paraná,PR,False,0.0096,0.009399999999999999,0.009899999999999999,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,soybeans,2021/22,harvest,Piauí,PI,False,0.0096,0.0092,0.0092,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,soybeans,2021/22,harvest,Rio Grande do Sul,RS,False,0.0055000000000000005,0.0038,0.0060999999999999995,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,soybeans,2021/22,harvest,Santa Catarina,SC,False,0.009300000000000001,0.0088,0.009300000000000001,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,soybeans,2021/22,harvest,São Paulo,SP,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,soybeans,2021/22,harvest,Tocantins,TO,False,0.01,0.01,0.0096,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,soybeans,2021/22,harvest,Total,,True,0.00908,0.00871,0.00918,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,soybeans,2021/22,planting,Bahia,BA,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,soybeans,2021/22,planting,Goiás,GO,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,soybeans,2021/22,planting,Maranhão,MA,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,soybeans,2021/22,planting,Mato Grosso,MT,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,soybeans,2021/22,planting,Mato Grosso do Sul,MS,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,soybeans,2021/22,planting,Minas Gerais,MG,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,soybeans,2021/22,planting,Paraná,PR,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,soybeans,2021/22,planting,Piauí,PI,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,soybeans,2021/22,planting,Rio Grande do Sul,RS,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,soybeans,2021/22,planting,Santa Catarina,SC,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,soybeans,2021/22,planting,São Paulo,SP,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,soybeans,2021/22,planting,Tocantins,TO,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,soybeans,2021/22,planting,Total,,True,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
